"날짜","상품 카테고리","하위 카테고리","세부 카테고리","브랜드","센터","SKU ID","SKU 명","바코드","발주가능상태","발주가능상태_세부","입고수량","출고수량","현재재고수량","매입원가","발주대비 납품율","확정대비 납품율","회송율","회송사유","품절여부","세부카테고리 품절율"
"20260604","Beauty","Nailcare","네일 도구/소품","오아","VF107","34801754","오아 무선 전동 쏙오프 이지 네일드릴 + 비트세트 화이트","8809822422463","발주가능","정상","0","1","5","21305","0","0","0","","NO","0.744"
"20260604","Beauty","Tools & Accessories","페이스 마사지용품","오아","VF107","37639889","오아 코털제거기PRO USB충전식 2In1 콧털 눈썹 정리기","8809822423071","발주가능","정상","0","0","10","14880","0","0","0","","NO","0.700"
"20260604","CE","AV","브라켓/스탠드","보아르","VF107","36606823","보아르 TV스탠드 와이드 이동식 이젤형 거치대 VET-005WH","8809822422821","발주가능","정상","0","0","4","77355","0","0","0","","NO","0.358"
"20260604","CE","Beauty Appliance","각질관리기기","오아","VF107","59332927","오아 아쿠아 필링기 각질 제거기 OFLL-001WH 화이트 OFLL-001WH","8809822426409","발주가능","정상","46","3","46","20039","0","0","0","","YES","0.750"
"20260604","CE","Beauty Appliance","고데기/매직기","오아","FC","12263163","오아 데일리 고데기 판 볼륨 앞머리 프리볼트 매직기","8809487307372","발주가능","정상","0","0","0","30333","0","0","0","","NO","0.640"
"20260604","CE","Beauty Appliance","고데기/매직기","오아","VF107","12263163","오아 데일리 고데기 판 볼륨 앞머리 프리볼트 매직기","8809487307372","발주가능","정상","48","6","122","30333","0","0","0","","NO","0.640"
"20260604","CE","Beauty Appliance","고데기/매직기","오아","VF107","13959023","오아 티타늄 웨이브 펌 프리볼트 물결 고데기","8809487307877","발주가능","정상","0","4","244","24242","0","0","0","","NO","0.640"
"20260604","CE","Beauty Appliance","고데기/매직기","오아","FC","13959023","오아 티타늄 웨이브 펌 프리볼트 물결 고데기","8809487307877","발주가능","정상","0","0","1","24242","0","0","0","","NO","0.640"
"20260604","CE","Beauty Appliance","고데기/매직기","오아","FC","15826960","오아 뷰티 빗 고데기 스트레이트 매직기","8809487309437","발주가능","정상","0","0","1","29115","0","0","0","","NO","0.640"
"20260604","CE","Beauty Appliance","고데기/매직기","오아","VF107","15826960","오아 뷰티 빗 고데기 스트레이트 매직기","8809487309437","발주가능","정상","10","0","22","29115","0","0","0","","NO","0.640"
"20260604","CE","Beauty Appliance","고데기/매직기","오아","FC","27011098","오아 볼륨 컬링 티타늄 이지봉고데기 화이트 OHA-012WH","8809822421411","발주가능","정상","0","0","4","24242","0","0","0","","NO","0.640"
"20260604","CE","Beauty Appliance","고데기/매직기","오아","VF107","27011098","오아 볼륨 컬링 티타늄 이지봉고데기 화이트 OHA-012WH","8809822421411","발주가능","정상","0","7","199","24242","0","0","0","","NO","0.640"
"20260604","CE","Beauty Appliance","고데기/매직기","오아","FC","37244806","오아 볼륨 컬링 티타늄 이지 봉고데기 핑크 OHA-012PK","8809822423118","발주가능","정상","0","0","1","24242","0","0","0","","NO","0.640"
"20260604","CE","Beauty Appliance","고데기/매직기","오아","VF107","37244806","오아 볼륨 컬링 티타늄 이지 봉고데기 핑크 OHA-012PK","8809822423118","발주가능","정상","30","5","56","24242","0","0","0","","NO","0.640"
"20260604","CE","Beauty Appliance","고데기/매직기","오아","VF107","38158208","오아 더벨벳 무선 고데기 미니 휴대용 뿌리볼륨 헤어 매직기","8809822422807","발주가능","정상","0","0","8","30333","0","0","0","","NO","0.640"
